Sr. No.,Symbol,Company Name,"Market capitalization as on March 28, 2024
(In lakhs)"
903.0,SANGAMIND,Sangam (India) Limited,222542.009811
904.0,BEPL,Bhansali Engineering Polymers Limited,222355.03401
905.0,CAPACITE,Capacit'e Infraprojects Limited,221535.68659549998
906.0,NPST,Network People Services Technologies Limited,220738.689
907.0,SUVEN,Suven Life Sciences Limited,218073.717
908.0,MANINDS,Man Industries (India) Limited,218023.8320125
909.0,DIAMONDYD,Prataap Snacks Limited,217761.4461375
910.0,CENTUM,Centum Electronics Limited,217009.007475
911.0,VENKEYS,Venky's (India) Limited,216839.3039875
912.0,IKIO,IKIO Lighting Limited,216617.80490299998
913.0,TCNSBRANDS,TCNS Clothing Co. Limited,216426.726269
914.0,OPTIEMUS,Optiemus Infracom Limited,215887.9067695
915.0,MOREPENLAB,Morepen Laboratories Limited,214946.44171400002
916.0,MUKANDLTD,Mukand Limited,214937.1499625
917.0,UDS,Updater Services Limited,214469.090481
918.0,ALEMBICLTD,Alembic Limited,214284.435466
919.0,RAMASTEEL,Rama Steel Tubes Limited,213129.7164
920.0,IOLCP,IOL Chemicals and Pharmaceuticals Limited,212191.03697900003
921.0,MBAPL,Madhya Bharat Agro Products Limited,211399.99275
922.0,MMFL,MM Forgings Limited,211135.4368
923.0,VAKRANGEE,Vakrangee Limited,210313.388065
924.0,TARSONS,Tarsons Products Limited,209419.922016
925.0,ASTEC,Astec LifeSciences Limited,209318.469447
926.0,JSLL,Jeena Sikho Lifecare Limited,209235.41880900002
927.0,VISHNU,Vishnu Chemicals Limited,209162.80644
928.0,TTKHLTCARE,TTK Healthcare Limited,208627.3015785
929.0,MTNL,Mahanagar Telephone Nigam Limited,206640
930.0,RPTECH,Rashi Peripherals Limited,206101.2022875
931.0,RPSGVENT,RPSG VENTURES LIMITED,206012.5256385
932.0,ORIENTHOT,Oriental Hotels Limited,205924.85454
933.0,GTLINFRA,GTL Infrastructure Limited,204912.335152
934.0,WEBELSOLAR,Websol Energy System Limited,204827.401991
935.0,JASH,Jash Engineering Limited,203847.63831
936.0,UGROCAP,Ugro Capital Limited,203758.423539
937.0,SDBL,Som Distilleries & Breweries Limited,203658.9044375
938.0,HPL,HPL Electric & Power Limited,203511.03819
939.0,TCPLPACK,TCPL Packaging Limited,203280.35
940.0,ADFFOODS,ADF Foods Limited,203192.7189525
941.0,HMT,HMT Limited,202483.84505
942.0,MOL,Meghmani Organics Limited,201671.16932299998
943.0,MUFIN,Mufin Green Finance Limited,201352.061862
944.0,THEMISMED,Themis Medicare Limited,201199.70232
945.0,PANAMAPET,Panama Petrochem Limited,201141.21335
946.0,MANGLMCEM,Mangalam Cement Limited,201005.24838
947.0,SIGNPOST,Signpost India Limited,200918.55
948.0,HITECH,Hi-Tech Pipes Limited,200661.435
949.0,MAYURUNIQ,Mayur Uniquoters Ltd,200291.9982
950.0,SIYSIL,Siyaram Silk Mills Limited,199129.316232
951.0,JINDALPOLY,Jindal Poly Films Limited,198593.27616150002
952.0,KRSNAA,Krsnaa Diagnostics Limited,198452.883398
953.0,DEEPINDS,Deep Industries Limited,197440
954.0,PNBGILTS,PNB Gilts Limited,197291.106864
955.0,HIL,HIL Limited,196421.5667025
956.0,RICOAUTO,Rico Auto Industries Limited,196298.535
957.0,BFINVEST,BF Investment Limited,196022.33611200002
958.0,GANDHAR,Gandhar Oil Refinery (India) Limited,195837.513822
959.0,IFGLEXPOR,IFGL Refractories Limited,195819.60175200002
960.0,BARBEQUE,Barbeque Nation Hospitality Limited,194513.8533375
961.0,ANDHRAPAP,ANDHRA PAPER LIMITED,193182.9644425
962.0,IRMENERGY,IRM Energy Limited,192693.064161
963.0,RIIL,Reliance Industrial Infrastructure Limited,192592.95
964.0,SHRIRAMPPS,Shriram Properties Limited,192553.57239299998
965.0,GLOBUSSPR,Globus Spirits Limited,191812.399845
966.0,DREDGECORP,Dredging Corporation of India Limited,190288
967.0,RUPA,Rupa & Company Limited,189864.887
968.0,SJS,S.J.S. Enterprises Limited,189532.960776
969.0,PARACABLES,Paramount Communications Limited,188618.281245
970.0,EXPLEOSOL,Expleo Solutions Limited,188324.2728955
971.0,PRECAM,Precision Camshafts Limited,187644.5170425
972.0,BHARATWIRE,Bharat Wire Ropes Limited,187251.509696
973.0,GTPL,GTPL Hathway Limited,187250.95827
974.0,VPRPL,Vishnu Prakash R Punglia Limited,186779.034
975.0,ADORWELD,Ador Welding Limited,186434.98257
976.0,DPABHUSHAN,D. P. Abhushan Limited,186117.31055
977.0,FOSECOIND,Foseco India Limited,185980.07253900002
978.0,SCILAL,Shipping Corporation of India Land and Assets Limited,185853.80499
979.0,SESHAPAPER,Seshasayee Paper and Boards Limited,185578.00195
980.0,JINDRILL,Jindal Drilling And Industries Limited,184696.57579200002
981.0,YASHO,Yasho Industries Limited,184558.7476
982.0,GREENPOWER,Orient Green Power Company Limited,183395.38369900003
983.0,NITINSPIN,Nitin Spinners Limited,182630.67
984.0,GOLDIAM,Goldiam International Limited,182512.863498
985.0,PIXTRANS,Pix Transmissions Limited,181801.0436
986.0,SIGACHI,Sigachi Industries Limited,180176.6333
987.0,ARMANFIN,Arman Financial Services Limited,179568.437062
988.0,MONARCH,Monarch Networth Capital Limited,179389.902087
989.0,AMRUTANJAN,Amrutanjan Health Care Limited,179376.003835
990.0,FMGOETZE,Federal-Mogul Goetze (India) Limited.,179191.09073
991.0,PENIND,Pennar Industries Limited,179073.648537
992.0,GEPIL,GE Power India Limited,178522.5492405
993.0,PVSL,Popular Vehicles and Services Limited,177639.50401
994.0,JUBLINDS,Jubilant Industries Limited,176744.62828049998
995.0,63MOONS,63 moons technologies limited,175835.69719200002
996.0,CANTABIL,Cantabil Retail India Limited,174636.22752
997.0,RAMCOIND,Ramco Industries Limited,174486.2106
998.0,JYOTISTRUC,Jyoti Structures Limited,173961.6453615
999.0,VSSL,Vardhman Special Steels Limited,172776.295188
1000.0,HERCULES,Hercules Hoists Limited,172464
1001.0,NSIL,Nalwa Sons Investments Limited,171781.5396165
1002.0,HLVLTD,HLV LIMITED,171737.20368950002
1003.0,SURYODAY,Suryoday Small Finance Bank Limited,170818.999082
1004.0,TNPL,Tamil Nadu Newsprint & Papers Limited,170707.9449
1005.0,SUBEXLTD,Subex Limited,168881.8819675
1006.0,RISHABH,Rishabh Instruments Limited,168798.29842
1007.0,SERVOTECH,Servotech Power Systems Limited,168317.72904
1008.0,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,167361.78857200002
1009.0,ATFL,Agro Tech Foods Limited,166198.38048
1010.0,OMAXE,Omaxe Limited,165616.43897
1011.0,EVERESTIND,Everest Industries Limited,164449.808725
1012.0,PREMEXPLN,Premier Explosives Limited,163616.820863
1013.0,GNA,GNA Axles Limited,163351.694
1014.0,GOKULAGRO,Gokul Agro Resources Limited,161043.57525700002
1015.0,TALBROAUTO,Talbros Automotive Components Limited,160801.83075
1016.0,DCMSRIND,DCM Shriram Industries Limited,159369.68292
1017.0,NELCO,NELCO Limited,158393.9236
1018.0,KICL,Kalyani Investment Company Limited,158272.899642
1019.0,MOTISONS,Motisons Jewellers Limited,157562.823
1020.0,5PAISA,5Paisa Capital Limited,157484.5546365
1021.0,KIRIINDUS,Kiri Industries Limited,157109.493541
1022.0,CAPITALSFB,Capital Small Finance Bank Limited,157108.30976
1023.0,INDRAMEDCO,Indraprastha Medical Corporation Limited,157081.6855
1024.0,AEROFLEX,Aeroflex Industries Limited,156994.92918
1025.0,SIRCA,Sirca Paints India Limited,156013.2492
1026.0,SHANKARA,Shankara Building Products Limited,155474.553649
1027.0,FAIRCHEMOR,Fairchem Organics Limited,154974.775604
1028.0,BLKASHYAP,B. L. Kashyap and Sons Limited,154651.84
1029.0,TFCILTD,Tourism Finance Corporation of India Limited,154536.88608
1030.0,SADHNANIQ,Sadhana Nitrochem Limited,154164.475296
1031.0,INDNIPPON,India Nippon Electricals Limited,153972.72245600002
1032.0,GVKPIL,GVK Power & Infrastructure Limited,153915.503625
1033.0,RANEHOLDIN,Rane Holdings Limited,153871.947593
1034.0,GEOJITFSL,Geojit Financial Services Limited,153530.757444
1035.0,DCW,DCW Limited,151709.678738
1036.0,SBGLP,Suratwwala Business Group Limited,151583.310204
1037.0,BCLIND,Bcl Industries Limited,151149.9
1038.0,SMSPHARMA,SMS Pharmaceuticals Limited,150892.243475
1039.0,DPSCLTD,DPSC Limited,149963.60456
1040.0,CAMLINFINE,Camlin Fine Sciences Limited,149453.4152475
1041.0,CONTROLPR,Control Print Limited,148722.18028200002
1042.0,REFEX,Refex Industries Limited,148534.42538
1043.0,KRISHANA,Krishana Phoschem Limited,147778.6203
1044.0,EKC,Everest Kanto Cylinder Limited,147384.79030700002
1045.0,WHEELS,Wheels India Limited,146097.195254
1046.0,JITFINFRA,JITF Infralogistics Limited,146048.45749200002
1047.0,V2RETAIL,V2 Retail Limited,146036.197702
1048.0,SALZERELEC,Salzer Electronics Limited,145736.867008
1049.0,UNIVCABLES,Universal Cables Limited,145681.67671200001
1050.0,SPAL,S. P. Apparels Limited,145662.543
1051.0,EPACK,EPACK Durable Limited,144991.3188285
1052.0,SWELECTES,Swelect Energy Systems Limited,144667.62606
1053.0,GPTHEALTH,GPT Healthcare Limited,144662.652949
1054.0,HITECHGEAR,The Hi-Tech Gears Limited,144488.75217700002
1055.0,INSECTICID,Insecticides (India) Limited,143934.281331
1056.0,PENINLAND,Peninsula Land Limited,143700.41791
1057.0,SHREDIGCEM,Shree Digvijay Cement Co.Ltd,143279.388216
1058.0,SPIC,Southern Petrochemicals Industries Corporation  Limited,143159.156208
1059.0,NIITLTD,NIIT Limited,142628.874432
1060.0,BIGBLOC,Bigbloc Construction Limited,142425.2045
1061.0,ORIANA,Oriana Power Limited,142334.892
1062.0,SPCENET,Spacenet Enterprises India Limited,142053.82686600002
1063.0,SHALPAINTS,Shalimar Paints Limited,139044.26665799998
1064.0,KAMDHENU,Kamdhenu Limited,139014.1155
1065.0,STOVEKRAFT,Stove Kraft Limited,138668.65488450002
1066.0,RKSWAMY,R K Swamy Limited,138408.594822
1067.0,NAVKARCORP,Navkar Corporation Limited,138176.608158
1068.0,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,136412.0343545
1069.0,DHAMPURSUG,Dhampur Sugar Mills Limited,135875.41202
1070.0,NDTV,New Delhi Television Limited,135744.2526685
1071.0,ARIHANTSUP,Arihant Superstructures Limited,135498.690372
1072.0,VASCONEQ,Vascon Engineers Limited,135446.07193200002
1073.0,KUANTUM,Kuantum Papers Limited,134822.30835
1074.0,APTECHT,Aptech Limited,134381.050296
1075.0,INDIANHUME,Indian Hume Pipe Company Limited,134180.46819
1076.0,ROSSELLIND,Rossell India Limited,133803.6380125
1077.0,AHL,Abans Holdings Limited,133538.66485
1078.0,SOLARA,Solara Active Pharma Sciences Limited,133528.1524365
1079.0,SUMMITSEC,Summit Securities Limited,133219.76382
1080.0,ALICON,Alicon Castalloy Limited,132737.39384
1081.0,KSOLVES,Ksolves India Limited,132662.712
1082.0,IGPL,IG Petrochemicals Limited,132648.816375
1083.0,STEELCAS,Steelcast Limited,132349.36
1084.0,POKARNA,Pokarna Limited,132092.542
1085.0,ATL,Allcargo Terminals Limited,132061.34415
1086.0,ATULAUTO,Atul Auto Limited,132012.83896
1087.0,GANESHBE,Ganesh Benzoplast Limited,131956.608693
1088.0,COSMOFIRST,COSMO FIRST LIMITED,131445.5079525
1089.0,AWHCL,Antony Waste Handling Cell Limited,131040.1557
1090.0,DWARKESH,Dwarikesh Sugar Industries Limited,130869.52165
1091.0,HARIOMPIPE,Hariom Pipe Industries Limited,130816.75103200001
1092.0,SMCGLOBAL,SMC Global Securities Limited,130717.95
1093.0,MADRASFERT,Madras Fertilizers Limited,130492.053
1094.0,DSSL,Dynacons Systems & Solutions Limited,130459.47624
1095.0,STEELXIND,STEEL EXCHANGE INDIA LIMITED,130246.02426
1096.0,MONTECARLO,Monte Carlo Fashions Limited,129876.01492799999
1097.0,E2E,E2E Networks Limited,129769.50459
1098.0,VERTOZ,Vertoz Advertising Limited,129707.46
1099.0,GIRIRAJ,Giriraj Civil Developers Limited,129374.02425
1100.0,NGLFINE,NGL Fine-Chem Limited,129367.82256
1101.0,IGARASHI,Igarashi Motors India Limited,129142.121944
1102.0,JAYBARMARU,Jay Bharat Maruti Limited,127951.5
1103.0,AVTNPL,AVT Natural Products Limited,127918.56
1104.0,SKYGOLD,Sky Gold Limited,126841.99715
1105.0,TVTODAY,TV Today Network Limited,126288.6236475
1106.0,XCHANGING,Xchanging Solutions Limited,125886.19908
1107.0,ANDHRSUGAR,The Andhra Sugars Limited,125709.074225
1108.0,ACLGATI,Allcargo Gati Limited,125107.0719335
1109.0,KOPRAN,Kopran Limited,124677.786186
1110.0,ENIL,Entertainment Network (India) Limited,124014.5846225
1111.0,VERANDA,Veranda Learning Solutions Limited,123621.415929
1112.0,MVGJL,Manoj Vaibhav Gems N Jewellers Limited,122924.5852765
1113.0,OMINFRAL,OM INFRA LIMITED,122739.20457049999
1114.0,ZOTA,Zota Health Care LImited,122645.566615
1115.0,SNOWMAN,Snowman Logistics Limited,122475.500335
1116.0,RAJRILTD,Raj Rayon Industries Limited,122060.1076525
1117.0,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,121751.234865
1118.0,KITEX,Kitex Garments Limited,120996.75
1119.0,TEXINFRA,Texmaco Infrastructure & Holdings Limited,120927.83391
1120.0,IMPAL,India Motor Parts and Accessories Limited,120906.24
1121.0,HIMATSEIDE,Himatsingka Seide Limited,120314.64952
1122.0,DOLATALGO,Dolat Algotech Limited,120120
1123.0,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,120115.104525
1124.0,AGARIND,Agarwal Industrial Corporation Limited,119722.143156
1125.0,REPRO,Repro India Limited,119289.42242799999
1126.0,DOLPHIN,Dolphin Offshore Enterprises (India) Limited,119073.63237
1127.0,UTTAMSUGAR,Uttam Sugar Mills Limited,119010.00346
1128.0,CENTRUM,Centrum Capital Limited,118777.34727
1129.0,HESTERBIO,Hester Biosciences Limited,118623.9789925
1130.0,BETA,Beta Drugs Limited,118610.134125
1131.0,MARINE,Marine Electricals (India) Limited,118311.0555
1132.0,BLISSGVS,Bliss GVS Pharma Limited,118143.592627
1133.0,MSPL,MSP Steel & Power Limited,117936.99
1134.0,LINCOLN,Lincoln Pharmaceuticals Limited,117384.220944
1135.0,SAURASHCEM,Saurashtra Cement Limited,117359.78206
1136.0,MATRIMONY,Matrimony.Com Limited,117056.63416850001
1137.0,HARDWYN,Hardwyn India Limited,116003.0877775
1138.0,GMBREW,GM Breweries Limited,115879.59726
1139.0,SURAJEST,Suraj Estate Developers Limited,115693.77748799999
1140.0,SICALLOG,Sical Logistics Limited,115164.6262
1141.0,TREL,Transindia Real Estate Limited,113634.17985
1142.0,PAKKA,PAKKA LIMITED,113626.6581
1143.0,HERANBA,Heranba Industries Limited,113498.1991455
1144.0,RAMRAT,Ram Ratna Wires Limited,112838
1145.0,DVL,Dhunseri Ventures Limited,112604.58411
1146.0,NACLIND,NACL Industries Limited,112032.6620625
1147.0,RML,Rane (Madras) Limited,111888.77169299999
1148.0,NELCAST,Nelcast Limited,111796.542
1149.0,KOKUYOCMLN,Kokuyo Camlin Limited,111337.22466
1150.0,ALLSEC,Allsec Technologies Limited,111331.209756
1151.0,MACPOWER,Macpower CNC Machines Limited,110716.03872
1152.0,INNOVANA,Innovana Thinklabs Limited,110700
1153.0,ROTO,Roto Pumps Limited,110696.121445
1154.0,STERTOOLS,Sterling Tools Limited,110432.2188205
1155.0,MUKKA,Mukka Proteins Limited,109500
1156.0,TIL,TIL Limited,108861.06216649999
1157.0,CSLFINANCE,CSL Finance Limited,108695.884791
1158.0,GICHSGFIN,GIC Housing Finance Limited,108456.046924
1159.0,SATIA,Satia Industries Limited,108300
1160.0,MUFTI,Credo Brands Marketing Limited,107651.39679
1161.0,CREST,Crest Ventures Limited,106616.375
1162.0,AVADHSUGAR,Avadh Sugar & Energy Limited,106307.81941
1163.0,WINDLAS,Windlas Biotech Limited,106135.128225
1164.0,KRYSTAL,Krystal Integrated Services Limited,105970.269944
1165.0,YUKEN,Yuken India Limited,105943.5
1166.0,ASIANENE,Asian Energy Services Limited,105818.33743200001
1167.0,SPORTKING,Sportking India Limited,105805.9736
1168.0,KOTYARK,Kotyark Industries Limited,105781.1073
1169.0,CLSEL,Chaman Lal Setia Exports Limited,105303.641025
1170.0,KAMOPAINTS,Kamdhenu Ventures Limited,105120.312
1171.0,HUBTOWN,Hubtown Limited,105115.670365
1172.0,VALIANTORG,Valiant Organics Limited,105005.786592
1173.0,INDOTECH,Indo Tech Transformers Limited,104968.08
1174.0,COFFEEDAY,Coffee Day Enterprises Limited,104886.4784835
1175.0,SYNCOMF,Syncom Formulations (India) Limited,104810
1176.0,NDRAUTO,Ndr Auto Components Limited,104809.942076
1177.0,DHANBANK,Dhanlaxmi Bank Limited,104367.48465
1178.0,ONEPOINT,One Point One Solutions Limited,103875.52023
1179.0,HIRECT,Hind Rectifiers Limited,103469.82975
1180.0,KABRAEXTRU,Kabra Extrusion Technik Limited,102837.624258
1181.0,REMUS,Remus Pharmaceuticals Limited,101627.4255
1182.0,INDORAMA,Indo Rama Synthetics (India) Limited,101442.45916350001
1183.0,GULPOLY,Gulshan Polyols Limited,101133.9068205
1184.0,HEUBACHIND,Heubach Colorants India Limited,100728.96647200001
1185.0,OAL,Oriental Aromatics Limited,100304.483268
1186.0,CREATIVE,Creative Newtech Limited,100140.708175
1187.0,ONWARDTEC,Onward Technologies Limited,99671.11599
1188.0,URJA,Urja Global Limited,99310.68825299999
1189.0,PVP,PVP Ventures Limited,99213.802461
1190.0,ROHLTD,Royal Orchid Hotels Limited,99059.87658
1191.0,BLAL,BEML Land Assets Limited,98530.887
1192.0,SATINDLTD,Sat Industries Limited,98497.035
1193.0,VIMTALABS,Vimta Labs Limited,98404.1326455
1194.0,ZUARIIND,ZUARI INDUSTRIES LIMITED,97801.40825600001
1195.0,GSLSU,Global Surfaces Limited,97796.045035
1196.0,NAHARSPING,Nahar Spinning Mills Limited,96853.3712065
1197.0,MANALIPETC,Manali Petrochemicals Limited,96663.566698
1198.0,SASTASUNDR,Sastasundar Ventures Limited,96640.299
1199.0,DLINKINDIA,D-Link (India) Limited,96431.1726
1200.0,RGL,Renaissance Global Limited,95987.23485200001
1201.0,FOCUS,Focus Lighting and Fixtures Limited,95344.6071375
1202.0,GANDHITUBE,Gandhi Special Tubes Limited,94654.69943200001
1203.0,KELLTONTEC,Kellton Tech Solutions Limited,94429.0178415
1204.0,PLATIND,Platinum Industries Limited,94141.23232200001
1205.0,KERNEX,Kernex Microsystems (India) Limited,93852.7632
1206.0,RAMCOSYS,Ramco Systems Limited,93730.1599725
1207.0,WALCHANNAG,Walchandnagar Industries Limited,93084.942314
1208.0,CHEMFAB,Chemfab Alkalis Limited,92785.898244
1209.0,UNIENTER,Uniphos Enterprises Limited,92774.162566
1210.0,SARVESHWAR,Sarveshwar Foods Limited,92498.112
1211.0,BODALCHEM,Bodal Chemicals Limited,92392.4354925
1212.0,SEMAC,SEMAC CONSULTANTS LIMITED,92075.76274600001
1213.0,VISAKAIND,Visaka Industries Limited,91934.66464
1214.0,LIKHITHA,Likhitha Infrastructure Limited,91681.8
1215.0,WEL,Wonder Electricals Limited,91426.958
1216.0,ASAL,Automotive Stampings and Assemblies Limited,91053.7065815
1217.0,AMNPLST,Amines & Plasticizers Limited,91003.08
1218.0,GPTINFRA,GPT Infraprojects Limited,90922.836
1219.0,NINSYS,NINtec Systems Limited,90873.792
1220.0,SHIVALIK,Shivalik Rasayan Limited,89923.349335
1221.0,VHL,Vardhman Holdings Limited,89549.37571200001
1222.0,OWAIS,Owais Metal And Mineral Processing Limited,89366.48617
1223.0,TRACXN,Tracxn Technologies Limited,88993.57630950001
1224.0,EXCELINDUS,Excel Industries Limited,88950.21659200001
1225.0,INFOBEAN,InfoBeans Technologies Limited,88944.403015
1226.0,SANDESH,The Sandesh Limited,88796.877751
1227.0,EIMCOELECO,Eimco Elecon (India) Limited,88149.5753775
1228.0,CENTENKA,Century Enka Limited,87872.1436635
1229.0,HPAL,HP Adhesives Limited,87694.4345575
1230.0,MICEL,MIC Electronics Limited,87471.305485
1231.0,FAZE3Q,Faze Three Limited,87341.6885
1232.0,ORIENTPPR,Orient Paper & Industries Limited,87314.465753
1233.0,MAXIND,Max India Limited,87248.12212799999
1234.0,GRPLTD,GRP Limited,86864.64495049999
1235.0,DENORA,De Nora India Limited,86259.993866
1236.0,ASALCBR,Associated Alcohols & Breweries Ltd.,85351.9032
1237.0,GKWLIMITED,GKW Limited,84831.697
1238.0,VLSFINANCE,VLS Finance Limited,84780.93429
1239.0,SPECIALITY,Speciality Restaurants Limited,84724.0228055
1240.0,CHEMCON,Chemcon Speciality Chemicals Limited,84616.91931
1241.0,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,84502.413783
1242.0,PPL,Prakash Pipes Limited,84455.70797399999
1243.0,NCLIND,NCL Industries Limited,83590.19592
1244.0,HEXATRADEX,Hexa Tradex Limited,83309.013632
1245.0,DECCANCE,Deccan Cements Limited,82784.325
1246.0,SUTLEJTEX,Sutlej Textiles and Industries Limited,82569.62448
1247.0,SPENCERS,Spencer's Retail Limited,82296.714357
1248.0,BASILIC,Basilic Fly Studio Limited,82234.74
1249.0,SILVERTUC,Silver Touch Technologies Limited,81957.303
1250.0,SCHAND,S Chand And Company Limited,81915.62355399999
1251.0,AGSTRA,AGS Transact Technologies Limited,81825.673224
1252.0,DYCL,Dynamic Cables Limited,81726.975
1253.0,ALPEXSOLAR,Alpex Solar Limited,81325.1082
1254.0,RADIANTCMS,Radiant Cash Management Services Limited,81258.070419
1255.0,AMBIKCO,Ambika Cotton Mills Limited,80968.675
1256.0,BAJAJHCARE,Bajaj Healthcare Limited,80670.1232
1257.0,RSWM,RSWM Limited,80567.430482
1258.0,SAKAR,Sakar Healthcare Limited,80104.91853
1259.0,MUNJALAU,Munjal Auto Industries Limited,79500
1260.0,HMVL,Hindustan Media Ventures Limited,79123.242552
1261.0,ELDEHSG,Eldeco Housing And Industries Limited,78988.489
1262.0,INDOAMIN,Indo Amines Limited,78827.7794
1263.0,DENTALKART,Vasa Denticity Limited,78527.46782399999
1264.0,VIKASLIFE,Vikas Lifecare Limited,78335.67516
1265.0,RUSHIL,Rushil Decor Limited,77329.19050699999
1266.0,ADSL,Allied Digital Services Limited,76942.7879495
1267.0,BCONCEPTS,Brand Concepts Limited,76716.0207
1268.0,DBOL,Dhampur Bio Organics Limited,76511.697475
1269.0,LINC,Linc Limited,76473.320322
1270.0,RADHIKAJWE,Radhika Jeweltech Limited,76287
1271.0,DHARMAJ,Dharmaj Crop Guard Limited,75672.145744
1272.0,MAGADSUGAR,Magadh Sugar & Energy Limited,75650.915655
1273.0,CHEVIOT,Cheviot Company Limited,75520.8065625
1274.0,VINYAS,Vinyas Innovative Technologies Limited,75508.356
1275.0,BALAJITELE,Balaji Telefilms Limited,74979.142868
1276.0,OSWALGREEN,Oswal Greentech Limited,74731.465269
1277.0,ICEMAKE,Ice Make Refrigeration Limited,74669.70602
1278.0,GFLLIMITED,GFL Limited,74478.3
1279.0,PANACEABIO,Panacea Biotec Limited,74450.281763
1280.0,STCINDIA,The State Trading Corporation of India Limited,74430
1281.0,TRU,TruCap Finance Limited,74289.5502705
1282.0,UGARSUGAR,The Ugar Sugar Works Limited,74025
1283.0,MAANALU,Maan Aluminium Limited,73988.093952
1284.0,NRAIL,N R Agarwal Industries Limited,73556.5502
1285.0,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,72850.338204
1286.0,GHCLTEXTIL,GHCL Textiles Limited,72454.025788
1287.0,ASIANTILES,Asian Granito India Limited,72434.94809399999
1288.0,DAVANGERE,Davangere Sugar Company Limited,72303.909047
1289.0,POCL,Pondy Oxides & Chemicals Limited,72166.63424
1290.0,KOTHARIPET,Kothari Petrochemicals Limited,71939.724
1291.0,CONSOFINVT,Consolidated Finvest & Holdings Limited,71845.348435
1292.0,ACL,Andhra Cements Limited,71663.83885
1293.0,ZUARI,Zuari Agro Chemicals Limited,71246.262164
1294.0,GRMOVER,GRM Overseas Limited,71190
1295.0,BEDMUTHA,Bedmutha Industries Limited,71125.732278
1296.0,SUKHJITS,Sukhjit Starch & Chemicals Limited,70970.746
1297.0,ESTER,Ester Industries Limited,70842.9982705
1298.0,WSI,W S Industries (I) Limited,70517.3775
1299.0,TNPETRO,Tamilnadu PetroProducts Limited,70177.74972
1300.0,FOODSIN,Foods & Inns Limited,70000.44359550001
1301.0,THEINVEST,The Investment Trust Of India Limited,69769.4808035
1302.0,DHUNINV,Dhunseri Investments Limited,69687.695951
1303.0,TBZ,Tribhovandas Bhimji Zaveri Limited,69433.21011
1304.0,EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,69363.45
1305.0,KECL,Kirloskar Electric Company Limited,69336.29012399999
1306.0,EMAMIPAP,Emami Paper Mills Limited,69059.665575
1307.0,ELECTHERM,Electrotherm (India) Limited,68683.76746
1308.0,LOKESHMACH,Lokesh Machines Limited,68558.278005
1309.0,SELAN,Selan Exploration Technology Limited,68438
1310.0,AVG,AVG Logistics Limited,68296.5718
1311.0,SAHANA,Sahana System Limited,67866.236091
1312.0,DMCC,DMCC SPECIALITY CHEMICALS LIMITED,67674.5081955
1313.0,NECLIFE,Nectar Lifesciences Limited,67614.682455
1314.0,BIRLACABLE,Birla Cable Limited,67605
1315.0,GOACARBON,Goa Carbon Limited,67530.188234
1316.0,JGCHEM,J.G.Chemicals Limited,67497.9935175
1317.0,ANNAPURNA,Annapurna Swadisht Limited,67193.8
1318.0,3IINFOLTD,3i Infotech Limited,66707.50204
1319.0,WEALTH,Wealth First Portfolio Managers Limited,66652.3525
1320.0,PARSVNATH,Parsvnath Developers Limited,66582.71901
1321.0,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,66463.2815
1322.0,KRITI,Kriti Industries (India) Limited,66245.50096
1323.0,ELIN,Elin Electronics Limited,66170.91065
1324.0,DPWIRES,D P Wires Limited,66002.50635899999
1325.0,MEGASOFT,Megasoft Limited,65987.30167449999
1326.0,OCCL,Oriental Carbon & Chemicals Limited,65714.825176
1327.0,MUNJALSHOW,Munjal Showa Limited,65111.86
1328.0,ZEEMEDIA,Zee Media Corporation Limited,65044.58272
1329.0,SOLEX,Solex Energy Limited,64800
1330.0,MMP,MMP Industries Limited,64675.052698
1331.0,CHEMBOND,Chembond Chemicals Ltd,64551.7824
1332.0,JAYAGROGN,Jayant Agro Organics Limited,64515
1333.0,JPOLYINVST,Jindal Poly Investment and Finance Company Limited,64327.7495155
1334.0,MANAKSIA,Manaksia Limited,64223.369
1335.0,SREEL,Sreeleathers Limited,64000.453168
1336.0,ONMOBILE,OnMobile Global Limited,63781.67934350001
1337.0,SBC,SBC Exports Limited,63650.73
1338.0,SPMLINFRA,SPML Infra Limited,63450.903133
1339.0,BHAGERIA,Bhageria Industries Limited,63262.23891
1340.0,VALIANTLAB,Valiant Laboratories Limited,63024.225
1341.0,MENONBE,Menon Bearings Limited,62848.86
1342.0,KILITCH,Kilitch Drugs (India) Limited,62544.138591
1343.0,PAVNAIND,Pavna Industries Limited,62524.0464
1344.0,KHAICHEM,Khaitan Chemicals & Fertilizers Limited,62412.5502
1345.0,FCSSOFT,FCS Software Solutions Limited,62398.68815
1346.0,MALLCOM,Mallcom (India) Limited,62346.96
1347.0,NRL,Nupur Recyclers Limited,62256.469116
1348.0,PHANTOMFX,Phantom Digital Effects Limited,61805.7288
1349.0,APEX,Apex Frozen Foods Limited,61718.75
